ID,Text,Sentiment,clean_text,auto_sentiment,used_label
1,GM Soybean could introduce unknown health risks to consumers.,Negative,gm soybean could introduce unknown health risks to consumers,negative,negative
2,People seem divided on whether Golden Rice is good or bad.,Neutral,people seem divided on whether golden rice is good or bad,neutral,neutral
3,GM technology in GM Cotton can improve nutrition and productivity.,Positive,gm technology in gm cotton can improve nutrition and productivity,neutral,neutral
4,The spread of GM Potato genes to wild species concerns me.,Negative,the spread of gm potato genes to wild species concerns me,negative,negative
5,I do not have a strong opinion about GM Wheat yet.,Neutral,i do not have a strong opinion about gm wheat yet,neutral,neutral
6,I believe GM Rice reduces pesticide use and benefits the environment.,Positive,i believe gm rice reduces pesticide use and benefits the environment,positive,positive
7,There is too much uncertainty about the environmental impact of GM Banana.,Negative,there is too much uncertainty about the environmental impact of gm banana,neutral,neutral
8,I am still learning about how GM Tomato affects the environment.,Neutral,i am still learning about how gm tomato affects the environment,neutral,neutral
9,"Overall, GM Brinjal appears to bring more benefits than risks.",Positive,overall gm brinjal appears to bring more benefits than risks,neutral,neutral
10,I am worried that GM Maize may damage biodiversity in the long term.,Negative,i am worried that gm maize may damage biodiversity in the long term,neutral,neutral
11,More research is needed to fully understand the impact of GM Soybean.,Neutral,more research is needed to fully understand the impact of gm soybean,neutral,neutral
12,Golden Rice seems like a good solution for farmers facing climate stress.,Positive,golden rice seems like a good solution for farmers facing climate stress,positive,positive
13,I think GM Cotton might lead to overuse of chemicals and soil damage.,Negative,i think gm cotton might lead to overuse of chemicals and soil damage,neutral,neutral
14,There are arguments both for and against GM Potato adoption.,Neutral,there are arguments both for and against gm potato adoption,neutral,neutral
15,GM Wheat helps increase yield and supports food security.,Positive,gm wheat helps increase yield and supports food security,neutral,neutral
16,GM Rice could introduce unknown health risks to consumers.,Negative,gm rice could introduce unknown health risks to consumers,negative,negative
17,People seem divided on whether GM Banana is good or bad.,Neutral,people seem divided on whether gm banana is good or bad,neutral,neutral
18,GM technology in GM Tomato can improve nutrition and productivity.,Positive,gm technology in gm tomato can improve nutrition and productivity,neutral,neutral
19,The spread of GM Brinjal genes to wild species concerns me.,Negative,the spread of gm brinjal genes to wild species concerns me,negative,negative
20,I do not have a strong opinion about GM Maize yet.,Neutral,i do not have a strong opinion about gm maize yet,neutral,neutral
21,I believe GM Soybean reduces pesticide use and benefits the environment.,Positive,i believe gm soybean reduces pesticide use and benefits the environment,positive,positive
22,There is too much uncertainty about the environmental impact of Golden Rice.,Negative,there is too much uncertainty about the environmental impact of golden rice,neutral,neutral
23,I am still learning about how GM Cotton affects the environment.,Neutral,i am still learning about how gm cotton affects the environment,neutral,neutral
24,"Overall, GM Potato appears to bring more benefits than risks.",Positive,overall gm potato appears to bring more benefits than risks,neutral,neutral
25,I am worried that GM Wheat may damage biodiversity in the long term.,Negative,i am worried that gm wheat may damage biodiversity in the long term,neutral,neutral
26,More research is needed to fully understand the impact of GM Rice.,Neutral,more research is needed to fully understand the impact of gm rice,neutral,neutral
27,GM Banana seems like a good solution for farmers facing climate stress.,Positive,gm banana seems like a good solution for farmers facing climate stress,positive,positive
28,I think GM Tomato might lead to overuse of chemicals and soil damage.,Negative,i think gm tomato might lead to overuse of chemicals and soil damage,neutral,neutral
29,There are arguments both for and against GM Brinjal adoption.,Neutral,there are arguments both for and against gm brinjal adoption,neutral,neutral
30,GM Maize helps increase yield and supports food security.,Positive,gm maize helps increase yield and supports food security,neutral,neutral
31,GM Soybean could introduce unknown health risks to consumers.,Negative,gm soybean could introduce unknown health risks to consumers,negative,negative
32,People seem divided on whether Golden Rice is good or bad.,Neutral,people seem divided on whether golden rice is good or bad,neutral,neutral
33,GM technology in GM Cotton can improve nutrition and productivity.,Positive,gm technology in gm cotton can improve nutrition and productivity,neutral,neutral
34,The spread of GM Potato genes to wild species concerns me.,Negative,the spread of gm potato genes to wild species concerns me,negative,negative
35,I do not have a strong opinion about GM Wheat yet.,Neutral,i do not have a strong opinion about gm wheat yet,neutral,neutral
36,I believe GM Rice reduces pesticide use and benefits the environment.,Positive,i believe gm rice reduces pesticide use and benefits the environment,positive,positive
37,There is too much uncertainty about the environmental impact of GM Banana.,Negative,there is too much uncertainty about the environmental impact of gm banana,neutral,neutral
38,I am still learning about how GM Tomato affects the environment.,Neutral,i am still learning about how gm tomato affects the environment,neutral,neutral
39,"Overall, GM Brinjal appears to bring more benefits than risks.",Positive,overall gm brinjal appears to bring more benefits than risks,neutral,neutral
40,I am worried that GM Maize may damage biodiversity in the long term.,Negative,i am worried that gm maize may damage biodiversity in the long term,neutral,neutral
41,More research is needed to fully understand the impact of GM Soybean.,Neutral,more research is needed to fully understand the impact of gm soybean,neutral,neutral
42,Golden Rice seems like a good solution for farmers facing climate stress.,Positive,golden rice seems like a good solution for farmers facing climate stress,positive,positive
43,I think GM Cotton might lead to overuse of chemicals and soil damage.,Negative,i think gm cotton might lead to overuse of chemicals and soil damage,neutral,neutral
44,There are arguments both for and against GM Potato adoption.,Neutral,there are arguments both for and against gm potato adoption,neutral,neutral
45,GM Wheat helps increase yield and supports food security.,Positive,gm wheat helps increase yield and supports food security,neutral,neutral
46,GM Rice could introduce unknown health risks to consumers.,Negative,gm rice could introduce unknown health risks to consumers,negative,negative
47,People seem divided on whether GM Banana is good or bad.,Neutral,people seem divided on whether gm banana is good or bad,neutral,neutral
48,GM technology in GM Tomato can improve nutrition and productivity.,Positive,gm technology in gm tomato can improve nutrition and productivity,neutral,neutral
49,The spread of GM Brinjal genes to wild species concerns me.,Negative,the spread of gm brinjal genes to wild species concerns me,negative,negative
50,I do not have a strong opinion about GM Maize yet.,Neutral,i do not have a strong opinion about gm maize yet,neutral,neutral
51,I believe GM Soybean reduces pesticide use and benefits the environment.,Positive,i believe gm soybean reduces pesticide use and benefits the environment,positive,positive
52,There is too much uncertainty about the environmental impact of Golden Rice.,Negative,there is too much uncertainty about the environmental impact of golden rice,neutral,neutral
53,I am still learning about how GM Cotton affects the environment.,Neutral,i am still learning about how gm cotton affects the environment,neutral,neutral
54,"Overall, GM Potato appears to bring more benefits than risks.",Positive,overall gm potato appears to bring more benefits than risks,neutral,neutral
55,I am worried that GM Wheat may damage biodiversity in the long term.,Negative,i am worried that gm wheat may damage biodiversity in the long term,neutral,neutral
