ID,Text,Sentiment
1,GM Soybean could introduce unknown health risks to consumers.,Negative
2,People seem divided on whether Golden Rice is good or bad.,Neutral
3,GM technology in GM Cotton can improve nutrition and productivity.,Positive
4,The spread of GM Potato genes to wild species concerns me.,Negative
5,I do not have a strong opinion about GM Wheat yet.,Neutral
6,I believe GM Rice reduces pesticide use and benefits the environment.,Positive
7,There is too much uncertainty about the environmental impact of GM Banana.,Negative
8,I am still learning about how GM Tomato affects the environment.,Neutral
9,"Overall, GM Brinjal appears to bring more benefits than risks.",Positive
10,I am worried that GM Maize may damage biodiversity in the long term.,Negative
11,More research is needed to fully understand the impact of GM Soybean.,Neutral
12,Golden Rice seems like a good solution for farmers facing climate stress.,Positive
13,I think GM Cotton might lead to overuse of chemicals and soil damage.,Negative
14,There are arguments both for and against GM Potato adoption.,Neutral
15,GM Wheat helps increase yield and supports food security.,Positive
16,GM Rice could introduce unknown health risks to consumers.,Negative
17,People seem divided on whether GM Banana is good or bad.,Neutral
18,GM technology in GM Tomato can improve nutrition and productivity.,Positive
19,The spread of GM Brinjal genes to wild species concerns me.,Negative
20,I do not have a strong opinion about GM Maize yet.,Neutral
21,I believe GM Soybean reduces pesticide use and benefits the environment.,Positive
22,There is too much uncertainty about the environmental impact of Golden Rice.,Negative
23,I am still learning about how GM Cotton affects the environment.,Neutral
24,"Overall, GM Potato appears to bring more benefits than risks.",Positive
25,I am worried that GM Wheat may damage biodiversity in the long term.,Negative
26,More research is needed to fully understand the impact of GM Rice.,Neutral
27,GM Banana seems like a good solution for farmers facing climate stress.,Positive
28,I think GM Tomato might lead to overuse of chemicals and soil damage.,Negative
29,There are arguments both for and against GM Brinjal adoption.,Neutral
30,GM Maize helps increase yield and supports food security.,Positive
31,GM Soybean could introduce unknown health risks to consumers.,Negative
32,People seem divided on whether Golden Rice is good or bad.,Neutral
33,GM technology in GM Cotton can improve nutrition and productivity.,Positive
34,The spread of GM Potato genes to wild species concerns me.,Negative
35,I do not have a strong opinion about GM Wheat yet.,Neutral
36,I believe GM Rice reduces pesticide use and benefits the environment.,Positive
37,There is too much uncertainty about the environmental impact of GM Banana.,Negative
38,I am still learning about how GM Tomato affects the environment.,Neutral
39,"Overall, GM Brinjal appears to bring more benefits than risks.",Positive
40,I am worried that GM Maize may damage biodiversity in the long term.,Negative
41,More research is needed to fully understand the impact of GM Soybean.,Neutral
42,Golden Rice seems like a good solution for farmers facing climate stress.,Positive
43,I think GM Cotton might lead to overuse of chemicals and soil damage.,Negative
44,There are arguments both for and against GM Potato adoption.,Neutral
45,GM Wheat helps increase yield and supports food security.,Positive
46,GM Rice could introduce unknown health risks to consumers.,Negative
47,People seem divided on whether GM Banana is good or bad.,Neutral
48,GM technology in GM Tomato can improve nutrition and productivity.,Positive
49,The spread of GM Brinjal genes to wild species concerns me.,Negative
50,I do not have a strong opinion about GM Maize yet.,Neutral
51,I believe GM Soybean reduces pesticide use and benefits the environment.,Positive
52,There is too much uncertainty about the environmental impact of Golden Rice.,Negative
53,I am still learning about how GM Cotton affects the environment.,Neutral
54,"Overall, GM Potato appears to bring more benefits than risks.",Positive
55,I am worried that GM Wheat may damage biodiversity in the long term.,Negative
56,More research is needed to fully understand the impact of GM Rice.,Neutral
57,GM Banana seems like a good solution for farmers facing climate stress.,Positive
58,I think GM Tomato might lead to overuse of chemicals and soil damage.,Negative
59,There are arguments both for and against GM Brinjal adoption.,Neutral
60,GM Maize helps increase yield and supports food security.,Positive
61,GM Soybean could introduce unknown health risks to consumers.,Negative
62,People seem divided on whether Golden Rice is good or bad.,Neutral
63,GM technology in GM Cotton can improve nutrition and productivity.,Positive
64,The spread of GM Potato genes to wild species concerns me.,Negative
65,I do not have a strong opinion about GM Wheat yet.,Neutral
66,I believe GM Rice reduces pesticide use and benefits the environment.,Positive
67,There is too much uncertainty about the environmental impact of GM Banana.,Negative
68,I am still learning about how GM Tomato affects the environment.,Neutral
